;Navn:;a;;Check for duplicates:;;a;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Emne;Tema;Gr. ;Uke nr. ;Dato;Dag;Tid;Tidspunkt;Foreleser;Rom;Undervisningsform;Kommentarer;Oppgaver/innleveringer;Helper1 (Date + Time + Name);Helper2 (Date + Time + Room);Helper1 Instance;Helper2 Instance;Check for Duplicates
;BI-BAO3000;Økt 6;;4;25.jan;torsdag;f;08:15-11:45;Markus Vagle;;Teori;;;4312508:15-11:45Markus Vagle;4312508:15-11:45;1;1;1
;BI-IDR1401;Innebandy;B;4;25.jan;torsdag;2;10:15-11:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4312510:15-11:45Fredrik Lie Haugen;4312510:15-11:45Idrettshall;1;1;1
;BI-IDR1401;Dans;A;4;25.jan;torsdag;2;10:15-11:45;???;Dansesal;Praktisk;;;4312510:15-11:45???;4312510:15-11:45Dansesal;1;1;1
;PPU;Samling 2;;4;25.jan;torsdag;pput;15:15-20:00;Rein Jensen;E2-40;Teori;;;4312515:15-20:00Rein Jensen;4312515:15-20:00E2-40;1;1;1
;PPU;Samling 2;;4;26.jan;fredag;ppuf;09:15-14:00;Rein Jensen;Idrettshall;Praktisk;;;4312609:15-14:00Rein Jensen;4312609:15-14:00Idrettshall;1;1;1
;BI-BAO3000;Økt 7;;5;29.jan;mandag;f;08:15-11:45;Fredrik Lie Haugen;;Teori;;;4312908:15-11:45Fredrik Lie Haugen;4312908:15-11:45;1;4;4
;BI-IDR1301;Anatomi;;5;29.jan;mandag;f;08:15-11:45;Markus Vagle;;Teori;;;4312908:15-11:45Markus Vagle;4312908:15-11:45;;;
;G1-KRO1200;Teori KRØ;;5;29.jan;mandag;f;08:15-11:45;Markus Johansen Aasland;;Teori;;;4312908:15-11:45Markus Johansen Aasland;4312908:15-11:45;1;4;4
;G2-KRO1400;Teori KRØ;;5;29.jan;mandag;f;08:15-11:45;???;;Teori;;;4312908:15-11:45???;4312908:15-11:45;1;4;4
;BI-IDR1401;Lek og sans;A;5;29.jan;mandag;3;12:15-13:45;???;Idrettshall;Praktisk;Må dele hallen;;4312912:15-13:45???;4312912:15-13:45Idrettshall;2;2;2
;BI-IDR1401;Innebandy;B;5;29.jan;mandag;3;12:15-13:45;Fredrik Lie Haugen;Idrettshall;Praktisk;Må dele hallen;;4312912:15-13:45Fredrik Lie Haugen;4312912:15-13:45Idrettshall;1;2;2
;G1-KRO1100;Dans;;5;29.jan;mandag;3;12:15-13:45;???;Dansesal;Praktisk;;;4312912:15-13:45???;4312912:15-13:45Dansesal;2;1;2
;BI-IDR1401;Lek og sans;B;5;29.jan;mandag;4;14:15-15:45;???;Idrettshall;Praktisk;Må dele hallen;;4312914:15-15:45???;4312914:15-15:45Idrettshall;1;2;2
